index,X0,X1,X2,X3,X4,X5,Y
169,-5.0,0.565,5.1,3.94,3.51,0.15,0.24
285,-2.3,0.6,5.1,4.17,3.51,0.25,1.96
185,-2.3,0.53,5.11,3.69,3.51,0.2,0.75
81,-2.4,0.568,4.34,2.98,3.15,0.4,20.63
57,-2.4,0.574,4.36,3.96,2.76,0.15,0.35
121,-2.2,0.546,4.78,4.13,3.07,0.35,7.37
26,-2.3,0.569,4.78,3.04,3.64,0.425,35.01
172,-5.0,0.565,5.1,3.94,3.51,0.225,1.19
200,-2.3,0.53,4.76,3.68,3.16,0.225,1.15
249,-5.0,0.6,4.78,4.24,3.15,0.4,20.41
221,-2.3,0.53,4.34,2.81,3.15,0.4,25.18
77,-2.4,0.568,4.34,2.98,3.15,0.3,3.43
210,-2.3,0.53,4.34,2.81,3.15,0.125,0.05
305,-2.3,0.6,4.34,4.23,2.73,0.4,19.59
62,-2.4,0.574,4.36,3.96,2.76,0.275,2.83
195,-2.3,0.53,5.11,3.69,3.51,0.45,55.17
205,-2.3,0.53,4.76,3.68,3.16,0.35,7.51
38,-2.3,0.565,4.78,5.35,2.76,0.375,13.08
215,-2.3,0.53,4.34,2.81,3.15,0.25,1.43
144,-5.0,0.565,4.77,3.99,3.15,0.225,1.14
28,-2.3,0.565,4.78,5.35,2.76,0.125,0.09
264,0.0,0.53,4.78,3.75,3.15,0.425,41.77
147,-5.0,0.565,4.77,3.99,3.15,0.3,4.12
2,-2.3,0.568,4.78,3.99,3.17,0.175,0.47
250,-5.0,0.6,4.78,4.24,3.15,0.425,32.46
29,-2.3,0.565,4.78,5.35,2.76,0.15,0.29
152,-5.0,0.565,4.77,3.99,3.15,0.425,34.58
278,-5.0,0.53,4.78,3.75,3.15,0.425,37.14
5,-2.3,0.568,4.78,3.99,3.17,0.25,1.82
37,-2.3,0.565,4.78,5.35,2.76,0.35,8.25
25,-2.3,0.569,4.78,3.04,3.64,0.4,21.09
32,-2.3,0.565,4.78,5.35,2.76,0.225,1.31
115,-2.2,0.546,4.78,4.13,3.07,0.2,0.86
156,0.0,0.565,5.1,3.94,3.51,0.175,0.5
192,-2.3,0.53,5.11,3.69,3.51,0.375,14.11
105,-2.4,0.585,4.78,3.84,3.32,0.3,4.35
177,-5.0,0.565,5.1,3.94,3.51,0.35,7.74
102,-2.4,0.585,4.78,3.84,3.32,0.225,1.36
267,-5.0,0.53,4.78,3.75,3.15,0.15,0.24
277,-5.0,0.53,4.78,3.75,3.15,0.4,23.55
179,-5.0,0.565,5.1,3.94,3.51,0.4,20.91
279,-5.0,0.53,4.78,3.75,3.15,0.45,55.87
175,-5.0,0.565,5.1,3.94,3.51,0.3,3.85
143,-5.0,0.565,4.77,3.99,3.15,0.2,0.7
41,-2.3,0.565,4.78,5.35,2.76,0.45,50.14
10,-2.3,0.568,4.78,3.99,3.17,0.375,11.93
7,-2.3,0.568,4.78,3.99,3.17,0.3,3.76
148,-5.0,0.565,4.77,3.99,3.15,0.325,5.41
74,-2.4,0.568,4.34,2.98,3.15,0.225,1.09
257,0.0,0.53,4.78,3.75,3.15,0.25,1.94
206,-2.3,0.53,4.76,3.68,3.16,0.375,13.77
220,-2.3,0.53,4.34,2.81,3.15,0.375,13.96
65,-2.4,0.574,4.36,3.96,2.76,0.35,8.03
258,0.0,0.53,4.78,3.75,3.15,0.275,2.62
