index,X0,X1,X2,X3,X4,X5,Y
19,-2.3,0.569,4.78,3.04,3.64,0.25,1.59
14,-2.3,0.569,4.78,3.04,3.64,0.125,0.04
91,-2.3,0.562,5.14,4.95,3.17,0.3,4.09
214,-2.3,0.53,4.34,2.81,3.15,0.225,1.01
296,-2.3,0.6,4.34,4.23,2.73,0.175,0.36
44,-2.3,0.564,5.1,3.95,3.53,0.175,0.65
174,-5.0,0.565,5.1,3.94,3.51,0.275,2.59
106,-2.4,0.585,4.78,3.84,3.32,0.325,5.79
154,0.0,0.565,5.1,3.94,3.51,0.125,0.08
132,0.0,0.565,4.77,3.99,3.15,0.275,2.88
108,-2.4,0.585,4.78,3.84,3.32,0.375,12.15
267,-5.0,0.53,4.78,3.75,3.15,0.15,0.24
41,-2.3,0.565,4.78,5.35,2.76,0.45,50.14
79,-2.4,0.568,4.34,2.98,3.15,0.35,6.86
291,-2.3,0.6,5.1,4.17,3.51,0.4,20.14
147,-5.0,0.565,4.77,3.99,3.15,0.3,4.12
168,-5.0,0.565,5.1,3.94,3.51,0.125,0.08
122,-2.2,0.546,4.78,4.13,3.07,0.375,12.76
300,-2.3,0.6,4.34,4.23,2.73,0.275,2.63
99,-2.4,0.585,4.78,3.84,3.32,0.15,0.38
269,-5.0,0.53,4.78,3.75,3.15,0.2,0.78
8,-2.3,0.568,4.78,3.99,3.17,0.325,4.99
245,-5.0,0.6,4.78,4.24,3.15,0.3,4.34
194,-2.3,0.53,5.11,3.69,3.51,0.425,37.95
28,-2.3,0.565,4.78,5.35,2.76,0.125,0.09
31,-2.3,0.565,4.78,5.35,2.76,0.2,0.86
184,-2.3,0.53,5.11,3.69,3.51,0.175,0.46
55,-2.3,0.564,5.1,3.95,3.53,0.45,50.36
294,-2.3,0.6,4.34,4.23,2.73,0.125,0.04
179,-5.0,0.565,5.1,3.94,3.51,0.4,20.91
48,-2.3,0.564,5.1,3.95,3.53,0.275,2.83
257,0.0,0.53,4.78,3.75,3.15,0.25,1.94
188,-2.3,0.53,5.11,3.69,3.51,0.275,2.17
33,-2.3,0.565,4.78,5.35,2.76,0.25,1.99
35,-2.3,0.565,4.78,5.35,2.76,0.3,4.21
218,-2.3,0.53,4.34,2.81,3.15,0.325,3.87
63,-2.4,0.574,4.36,3.96,2.76,0.3,3.99
232,0.0,0.6,4.78,4.24,3.15,0.325,7.14
288,-2.3,0.6,5.1,4.17,3.51,0.325,6.31
66,-2.4,0.574,4.36,3.96,2.76,0.375,12.86
158,0.0,0.565,5.1,3.94,3.51,0.225,1.28
301,-2.3,0.6,4.34,4.23,2.73,0.3,4.15
248,-5.0,0.6,4.78,4.24,3.15,0.375,12.49
210,-2.3,0.53,4.34,2.81,3.15,0.125,0.05
47,-2.3,0.564,5.1,3.95,3.53,0.25,1.97
306,-2.3,0.6,4.34,4.23,2.73,0.425,30.48
220,-2.3,0.53,4.34,2.81,3.15,0.375,13.96
40,-2.3,0.565,4.78,5.35,2.76,0.425,33.14
21,-2.3,0.569,4.78,3.04,3.64,0.3,3.29
101,-2.4,0.585,4.78,3.84,3.32,0.2,0.97
69,-2.4,0.574,4.36,3.96,2.76,0.45,50.36
53,-2.3,0.564,5.1,3.95,3.53,0.4,21.51
137,0.0,0.565,4.77,3.99,3.15,0.4,24.13
24,-2.3,0.569,4.78,3.04,3.64,0.375,11.99
250,-5.0,0.6,4.78,4.24,3.15,0.425,32.46
134,0.0,0.565,4.77,3.99,3.15,0.325,5.96
249,-5.0,0.6,4.78,4.24,3.15,0.4,20.41
116,-2.2,0.546,4.78,4.13,3.07,0.225,1.24
171,-5.0,0.565,5.1,3.94,3.51,0.2,0.77
142,-5.0,0.565,4.77,3.99,3.15,0.175,0.4
247,-5.0,0.6,4.78,4.24,3.15,0.35,8.62
256,0.0,0.53,4.78,3.75,3.15,0.225,1.37
223,-2.3,0.53,4.34,2.81,3.15,0.45,62.42
56,-2.4,0.574,4.36,3.96,2.76,0.125,0.2
61,-2.4,0.574,4.36,3.96,2.76,0.25,1.97
298,-2.3,0.6,4.34,4.23,2.73,0.225,1.02
185,-2.3,0.53,5.11,3.69,3.51,0.2,0.75
84,-2.3,0.562,5.14,4.95,3.17,0.125,0.28
189,-2.3,0.53,5.11,3.69,3.51,0.3,2.98
114,-2.2,0.546,4.78,4.13,3.07,0.175,0.55
279,-5.0,0.53,4.78,3.75,3.15,0.45,55.87
261,0.0,0.53,4.78,3.75,3.15,0.35,9.45
118,-2.2,0.546,4.78,4.13,3.07,0.275,2.49
289,-2.3,0.6,5.1,4.17,3.51,0.35,8.68
170,-5.0,0.565,5.1,3.94,3.51,0.175,0.45
145,-5.0,0.565,4.77,3.99,3.15,0.25,1.83
302,-2.3,0.6,4.34,4.23,2.73,0.325,6.0
268,-5.0,0.53,4.78,3.75,3.15,0.175,0.47
54,-2.3,0.564,5.1,3.95,3.53,0.425,33.97
176,-5.0,0.565,5.1,3.94,3.51,0.325,5.27
275,-5.0,0.53,4.78,3.75,3.15,0.35,7.95
191,-2.3,0.53,5.11,3.69,3.51,0.35,7.84
207,-2.3,0.53,4.76,3.68,3.16,0.4,23.96
182,-2.3,0.53,5.11,3.69,3.51,0.125,0.08
