index,X0,X1,X2,X3,X4,X5,Y
302,-2.3,0.6,4.34,4.23,2.73,0.325,6.0
70,-2.4,0.568,4.34,2.98,3.15,0.125,0.12
6,-2.3,0.568,4.78,3.99,3.17,0.275,2.61
239,-5.0,0.6,4.78,4.24,3.15,0.15,0.15
84,-2.3,0.562,5.14,4.95,3.17,0.125,0.28
162,0.0,0.565,5.1,3.94,3.51,0.325,5.57
109,-2.4,0.585,4.78,3.84,3.32,0.4,19.18
37,-2.3,0.565,4.78,5.35,2.76,0.35,8.25
3,-2.3,0.568,4.78,3.99,3.17,0.2,0.78
244,-5.0,0.6,4.78,4.24,3.15,0.275,2.84
78,-2.4,0.568,4.34,2.98,3.15,0.325,4.62
166,0.0,0.565,5.1,3.94,3.51,0.425,35.46
196,-2.3,0.53,4.76,3.68,3.16,0.125,0.1
181,-5.0,0.565,5.1,3.94,3.51,0.45,49.14
64,-2.4,0.574,4.36,3.96,2.76,0.325,5.19
210,-2.3,0.53,4.34,2.81,3.15,0.125,0.05
50,-2.3,0.564,5.1,3.95,3.53,0.325,5.19
23,-2.3,0.569,4.78,3.04,3.64,0.35,7.11
43,-2.3,0.564,5.1,3.95,3.53,0.15,0.35
128,0.0,0.565,4.77,3.99,3.15,0.175,0.49
24,-2.3,0.569,4.78,3.04,3.64,0.375,11.99
187,-2.3,0.53,5.11,3.69,3.51,0.25,1.57
248,-5.0,0.6,4.78,4.24,3.15,0.375,12.49
140,-5.0,0.565,4.77,3.99,3.15,0.125,0.07
278,-5.0,0.53,4.78,3.75,3.15,0.425,37.14
291,-2.3,0.6,5.1,4.17,3.51,0.4,20.14
189,-2.3,0.53,5.11,3.69,3.51,0.3,2.98
179,-5.0,0.565,5.1,3.94,3.51,0.4,20.91
245,-5.0,0.6,4.78,4.24,3.15,0.3,4.34
153,-5.0,0.565,4.77,3.99,3.15,0.45,51.77
40,-2.3,0.565,4.78,5.35,2.76,0.425,33.14
213,-2.3,0.53,4.34,2.81,3.15,0.2,0.63
45,-2.3,0.564,5.1,3.95,3.53,0.2,0.93
205,-2.3,0.53,4.76,3.68,3.16,0.35,7.51
15,-2.3,0.569,4.78,3.04,3.64,0.15,0.17
251,-5.0,0.6,4.78,4.24,3.15,0.45,50.94
300,-2.3,0.6,4.34,4.23,2.73,0.275,2.63
149,-5.0,0.565,4.77,3.99,3.15,0.35,7.87
272,-5.0,0.53,4.78,3.75,3.15,0.275,2.62
298,-2.3,0.6,4.34,4.23,2.73,0.225,1.02
126,0.0,0.565,4.77,3.99,3.15,0.125,0.11
265,0.0,0.53,4.78,3.75,3.15,0.45,60.85
108,-2.4,0.585,4.78,3.84,3.32,0.375,12.15
103,-2.4,0.585,4.78,3.84,3.32,0.25,1.98
136,0.0,0.565,4.77,3.99,3.15,0.375,14.93
57,-2.4,0.574,4.36,3.96,2.76,0.15,0.35
161,0.0,0.565,5.1,3.94,3.51,0.3,3.76
75,-2.4,0.568,4.34,2.98,3.15,0.25,1.67
190,-2.3,0.53,5.11,3.69,3.51,0.325,4.42
30,-2.3,0.565,4.78,5.35,2.76,0.175,0.56
292,-2.3,0.6,5.1,4.17,3.51,0.425,31.77
286,-2.3,0.6,5.1,4.17,3.51,0.275,3.04
42,-2.3,0.564,5.1,3.95,3.53,0.125,0.2
237,0.0,0.6,4.78,4.24,3.15,0.45,51.5
227,0.0,0.6,4.78,4.24,3.15,0.2,0.73
122,-2.2,0.546,4.78,4.13,3.07,0.375,12.76
134,0.0,0.565,4.77,3.99,3.15,0.325,5.96
257,0.0,0.53,4.78,3.75,3.15,0.25,1.94
98,-2.4,0.585,4.78,3.84,3.32,0.125,0.2
289,-2.3,0.6,5.1,4.17,3.51,0.35,8.68
94,-2.3,0.562,5.14,4.95,3.17,0.375,12.8
303,-2.3,0.6,4.34,4.23,2.73,0.35,8.47
155,0.0,0.565,5.1,3.94,3.51,0.15,0.26
89,-2.3,0.562,5.14,4.95,3.17,0.25,2.23
151,-5.0,0.565,4.77,3.99,3.15,0.4,21.02
34,-2.3,0.565,4.78,5.35,2.76,0.275,2.94
72,-2.4,0.568,4.34,2.98,3.15,0.175,0.43
281,-2.3,0.6,5.1,4.17,3.51,0.15,0.16
214,-2.3,0.53,4.34,2.81,3.15,0.225,1.01
290,-2.3,0.6,5.1,4.17,3.51,0.375,12.39
111,-2.4,0.585,4.78,3.84,3.32,0.45,44.38
12,-2.3,0.568,4.78,3.99,3.17,0.425,32.75
87,-2.3,0.562,5.14,4.95,3.17,0.2,1.07
236,0.0,0.6,4.78,4.24,3.15,0.425,34.62
96,-2.3,0.562,5.14,4.95,3.17,0.425,32.34
168,-5.0,0.565,5.1,3.94,3.51,0.125,0.08
41,-2.3,0.565,4.78,5.35,2.76,0.45,50.14
63,-2.4,0.574,4.36,3.96,2.76,0.3,3.99
159,0.0,0.565,5.1,3.94,3.51,0.25,1.9
13,-2.3,0.568,4.78,3.99,3.17,0.45,49.49
175,-5.0,0.565,5.1,3.94,3.51,0.3,3.85
17,-2.3,0.569,4.78,3.04,3.64,0.2,0.66
229,0.0,0.6,4.78,4.24,3.15,0.25,2.16
270,-5.0,0.53,4.78,3.75,3.15,0.225,1.21
271,-5.0,0.53,4.78,3.75,3.15,0.25,1.85
51,-2.3,0.564,5.1,3.95,3.53,0.35,8.03
85,-2.3,0.562,5.14,4.95,3.17,0.15,0.44
124,-2.2,0.546,4.78,4.13,3.07,0.425,35.64
88,-2.3,0.562,5.14,4.95,3.17,0.225,1.57
163,0.0,0.565,5.1,3.94,3.51,0.35,8.76
247,-5.0,0.6,4.78,4.24,3.15,0.35,8.62
273,-5.0,0.53,4.78,3.75,3.15,0.3,3.69
238,-5.0,0.6,4.78,4.24,3.15,0.125,0.06
86,-2.3,0.562,5.14,4.95,3.17,0.175,0.7
203,-2.3,0.53,4.76,3.68,3.16,0.3,3.09
116,-2.2,0.546,4.78,4.13,3.07,0.225,1.24
145,-5.0,0.565,4.77,3.99,3.15,0.25,1.83
158,0.0,0.565,5.1,3.94,3.51,0.225,1.28
280,-2.3,0.6,5.1,4.17,3.51,0.125,0.01
207,-2.3,0.53,4.76,3.68,3.16,0.4,23.96
209,-2.3,0.53,4.76,3.68,3.16,0.45,56.46
186,-2.3,0.53,5.11,3.69,3.51,0.225,1.11
170,-5.0,0.565,5.1,3.94,3.51,0.175,0.45
125,-2.2,0.546,4.78,4.13,3.07,0.45,53.07
254,0.0,0.53,4.78,3.75,3.15,0.175,0.59
200,-2.3,0.53,4.76,3.68,3.16,0.225,1.15
71,-2.4,0.568,4.34,2.98,3.15,0.15,0.26
221,-2.3,0.53,4.34,2.81,3.15,0.4,25.18
259,0.0,0.53,4.78,3.75,3.15,0.3,3.7
201,-2.3,0.53,4.76,3.68,3.16,0.25,1.65
234,0.0,0.6,4.78,4.24,3.15,0.375,15.25
81,-2.4,0.568,4.34,2.98,3.15,0.4,20.63
288,-2.3,0.6,5.1,4.17,3.51,0.325,6.31
95,-2.3,0.562,5.14,4.95,3.17,0.4,20.41
133,0.0,0.565,4.77,3.99,3.15,0.3,4.14
199,-2.3,0.53,4.76,3.68,3.16,0.2,0.76
